CustomerID,churn_probability,churn_actual,CLTV,Monthly Charges,reason_1,reason_2,reason_3
3858-VOBET,0.5368,1,5897,74.95,Fiber optic internet,Month-to-month contract,No dependents
5103-MHMHY,0.127,1,4563,45.95,New customer (1 month),Month-to-month contract,No tech support
6119-SPUDB,0.0179,0,2653,38.25,No dependents,No online backup,No device protection
9389-ACWBI,0.2796,0,3850,69.95,New customer (5 months),Fiber optic internet,Month-to-month contract
3454-JFUBC,0.0101,0,6136,20.0,No dependents,Paperless billing,No tech support
1768-ZAIFU,0.6956,1,5688,25.2,New customer (1 month),Month-to-month contract,No dependents
7017-VFULY,0.3031,0,4158,20.1,New customer (2 months),Month-to-month contract,No dependents
9221-OTIVJ,0.7039,1,2292,104.85,Fiber optic internet,Month-to-month contract,No dependents
2482-CZGBB,0.5759,1,3156,70.0,Fiber optic internet,New customer (10 months),Month-to-month contract
7018-WBJNK,0.1713,0,5566,78.3,Fiber optic internet,Month-to-month contract,Relatively short tenure (13 months)
3331-HQDTW,0.4078,1,3410,109.8,Fiber optic internet,Month-to-month contract,No dependents
4695-VADHF,0.3503,1,2989,57.45,Month-to-month contract,No dependents,Pays by electronic check
4086-WITJG,0.0018,0,4808,19.7,No tech support,No online security,No online backup
6297-NOOPG,0.1386,0,5979,110.5,Fiber optic internet,No dependents,Pays by electronic check
8777-PVYGU,0.0849,0,4405,64.3,No dependents,Paperless billing,No tech support
4378-MYPGO,0.0169,0,5795,105.25,Fiber optic internet,Paperless billing,No tech support
9313-CDOGY,0.0221,0,3854,19.6,Month-to-month contract,Pays by electronic check,No tech support
4121-AGSIN,0.0488,0,4455,24.5,No dependents,Paperless billing,No tech support
0432-CAJZV,0.7218,0,3953,90.7,New customer (3 months),Fiber optic internet,Month-to-month contract
9097-ZUBYC,0.1931,0,2168,48.8,Month-to-month contract,No dependents,Relatively short tenure (14 months)
9638-JIQYA,0.5964,0,4033,24.9,New customer (2 months),Month-to-month contract,No dependents
1024-GUALD,0.745,1,4851,24.8,New customer (1 month),Month-to-month contract,No dependents
8024-XNAFQ,0.0439,0,5294,107.4,Fiber optic internet,No dependents,Paperless billing
7587-RZNME,0.5699,1,4849,43.3,New customer (3 months),Month-to-month contract,No dependents
1346-UFHAX,0.4325,0,5577,80.0,Fiber optic internet,Month-to-month contract,No dependents
6374-NTQLP,0.0131,0,5092,104.1,Fiber optic internet,Paperless billing,No online backup
6625-FLENO,0.0125,0,4927,20.75,No dependents,No tech support,No online security
7375-WMVMT,0.0568,0,6412,95.5,Fiber optic internet,No dependents,Paperless billing
6910-HADCM,0.6926,1,5613,76.35,New customer (1 month),Fiber optic internet,Month-to-month contract
7401-JIXNM,0.0373,0,5907,91.3,No dependents,No device protection,
7338-ERIVA,0.0604,0,4003,45.05,No dependents,No online backup,
5376-DEQCP,0.7579,1,4063,70.6,New customer (1 month),Fiber optic internet,Month-to-month contract
0909-SELIE,0.0326,0,4302,80.8,No dependents,Paperless billing,No device protection
5419-KLXBN,0.4641,1,5853,89.15,Fiber optic internet,Month-to-month contract,No dependents
0365-TRTPY,0.2088,0,5135,91.2,Fiber optic internet,Month-to-month contract,No dependents
6712-OAWRH,0.5903,1,5154,91.25,Fiber optic internet,Month-to-month contract,No dependents
2428-ZMCTB,0.1251,0,3926,19.75,New customer (10 months),Month-to-month contract,No dependents
1963-VAUKV,0.2502,1,3663,20.4,New customer (1 month),Month-to-month contract,No dependents
9381-NDKME,0.4147,1,3843,40.65,Month-to-month contract,No dependents,Paperless billing
3729-OWRVL,0.1043,0,4295,110.35,Fiber optic internet,No dependents,Pays by electronic check
0895-LMRSF,0.1772,0,3314,64.9,No dependents,Paperless billing,No tech support
2676-SSLTO,0.0501,0,6138,66.15,No dependents,Paperless billing,No online security
8495-PRWFH,0.188,0,5831,55.65,Month-to-month contract,No dependents,Pays by electronic check
9030-QGZNL,0.0322,0,4249,20.85,New customer (8 months),No dependents,No tech support
9972-NKTFD,0.1,0,3185,54.65,Month-to-month contract,No dependents,No online security
7998-WNZEM,0.0139,0,5447,80.6,No dependents,No device protection,
0979-PHULV,0.4322,1,4020,99.45,Fiber optic internet,Month-to-month contract,No dependents
6445-TNRXS,0.0178,0,5671,114.7,Fiber optic internet,Paperless billing,No device protection
9586-JGQKH,0.1165,0,4512,105.4,Fiber optic internet,No dependents,Paperless billing
3966-HRMZA,0.6048,0,3545,75.05,New customer (3 months),Fiber optic internet,Month-to-month contract
5498-IBWPI,0.0104,0,5232,49.4,Paperless billing,No online security,No online backup
6823-SIDFQ,0.0341,0,5327,18.25,No dependents,No tech support,No online security
2323-ARSVR,0.0834,0,6103,111.05,Fiber optic internet,No dependents,Pays by electronic check
5468-BPMMO,0.0799,0,5092,19.6,Month-to-month contract,No dependents,Pays by electronic check
0486-HECZI,0.1369,1,5154,96.75,Fiber optic internet,Month-to-month contract,Pays by electronic check
2178-PMGCJ,0.3724,0,4838,69.7,Fiber optic internet,Month-to-month contract,No dependents
4660-IRIBM,0.1458,0,5192,87.9,Fiber optic internet,Month-to-month contract,Relatively short tenure (18 months)
9674-EHPPG,0.024,0,2519,40.4,No dependents,No online backup,No device protection
5606-AMZBO,0.5549,0,3403,78.15,Fiber optic internet,New customer (10 months),Month-to-month contract
0665-XHDJU,0.1672,0,6022,99.4,Fiber optic internet,No dependents,Pays by electronic check
5402-HTOTQ,0.2859,0,3771,55.3,Month-to-month contract,No dependents,Pays by electronic check
8258-GSTJK,0.8098,1,3128,77.0,New customer (3 months),Fiber optic internet,Month-to-month contract
3787-TRIAL,0.1429,0,4302,26.05,Month-to-month contract,Pays by electronic check,Paperless billing
6175-IRFIT,0.6522,0,2610,78.75,New customer (5 months),Fiber optic internet,Month-to-month contract
6317-YPKDH,0.497,1,4534,29.95,New customer (1 month),Month-to-month contract,No dependents
5692-FPTAH,0.4929,1,2168,45.4,New customer (1 month),Month-to-month contract,No dependents
5373-SFODM,0.5165,1,3041,85.25,Fiber optic internet,Month-to-month contract,No dependents
0868-VJRDR,0.0636,0,4337,104.05,Fiber optic internet,No dependents,Paperless billing
4079-VTGLK,0.1424,0,5610,74.85,No dependents,Pays by electronic check,No tech support
1166-PQLGG,0.0018,0,4424,19.55,No tech support,No online security,No online backup
5296-BFCYD,0.0038,0,3392,20.1,Paperless billing,No tech support,No online security
6568-POCUI,0.1139,0,3363,95.2,Fiber optic internet,No dependents,Paperless billing
2839-RFSQE,0.245,1,3845,20.65,New customer (2 months),Month-to-month contract,No dependents
2188-SXWVT,0.0405,0,4027,55.0,No dependents,No tech support,
8849-GYOKR,0.2032,1,4893,106.55,Fiber optic internet,No dependents,No tech support
3623-FQBOX,0.1114,0,3632,19.95,Month-to-month contract,No dependents,Paperless billing
2649-HWLYB,0.0239,0,6177,76.15,No dependents,No online backup,No device protection
0599-XNYDO,0.458,0,5456,69.8,Fiber optic internet,Month-to-month contract,No dependents
2514-GINMM,0.8032,1,4490,79.5,New customer (1 month),Fiber optic internet,Month-to-month contract
8401-EMUWF,0.0491,0,4701,69.4,Month-to-month contract,Paperless billing,No tech support
5766-ZJYBB,0.2498,1,4152,19.4,New customer (1 month),Month-to-month contract,No dependents
2604-IJPDU,0.4384,0,4382,96.55,Fiber optic internet,Month-to-month contract,No dependents
2501-XWWTZ,0.4896,0,2535,70.2,Fiber optic internet,Month-to-month contract,New customer (11 months)
6370-ZVHDV,0.016,0,4501,25.3,No dependents,No tech support,No online security
3027-YNWZU,0.0146,0,5538,25.0,No dependents,No tech support,No online security
4526-ZJJTM,0.398,0,4849,88.4,Fiber optic internet,Month-to-month contract,No dependents
0440-QEXBZ,0.167,0,5790,50.15,Month-to-month contract,No dependents,Paperless billing
0330-IVZHA,0.7305,1,2969,69.95,New customer (5 months),Fiber optic internet,Month-to-month contract
9758-MFWGD,0.0174,0,2617,29.9,No tech support,No online security,
4229-CZMLL,0.7906,1,4160,74.9,New customer (6 months),Fiber optic internet,Month-to-month contract
0742-MOABM,0.3937,1,3394,50.05,New customer (4 months),Month-to-month contract,No dependents
4277-BWBML,0.0018,0,5092,19.95,No tech support,No online security,No online backup
5136-GFPMB,0.3144,0,5871,89.4,Fiber optic internet,Month-to-month contract,No dependents
7520-HQWJU,0.0266,0,4172,67.45,Month-to-month contract,Paperless billing,No tech support
6304-IJFSQ,0.4491,1,5585,49.9,New customer (3 months),Month-to-month contract,No dependents
0297-RBCSG,0.1087,0,2051,65.35,No dependents,Paperless billing,Relatively short tenure (19 months)
6013-BHCAW,0.0142,0,4151,81.0,Paperless billing,No online security,No online backup
4402-FTBXC,0.1908,0,4980,89.8,Fiber optic internet,Month-to-month contract,No dependents
1471-GIQKQ,0.4753,0,5230,49.95,New customer (1 month),Month-to-month contract,No dependents
4283-FUTGF,0.5705,1,3715,79.85,Fiber optic internet,Month-to-month contract,No dependents
9548-LERKT,0.0238,0,3455,19.75,No dependents,No tech support,No online security
8059-UDZFY,0.175,0,4738,105.35,Fiber optic internet,Month-to-month contract,Paperless billing
0410-IPFTY,0.4302,0,4283,83.85,Fiber optic internet,Month-to-month contract,No dependents
2478-EEWWM,0.3998,0,5905,44.3,Month-to-month contract,No dependents,Pays by electronic check
4619-EVPHY,0.4233,0,3748,91.0,Fiber optic internet,No dependents,Paperless billing
2277-DJJDL,0.5227,0,4763,99.0,Fiber optic internet,Month-to-month contract,No dependents
2911-WDXMV,0.1581,0,5334,80.55,Fiber optic internet,Month-to-month contract,Relatively short tenure (18 months)
3639-XJHKQ,0.0526,0,2463,60.6,Month-to-month contract,Pays by electronic check,Relatively short tenure (19 months)
8173-RXAYP,0.005,0,4642,19.7,No tech support,No online security,No online backup
4537-CIBHB,0.0185,0,4272,20.25,New customer (9 months),No tech support,No online security
5442-BXVND,0.0246,0,5531,24.25,Month-to-month contract,No tech support,No online security
2308-STERM,0.2446,0,5816,19.4,New customer (2 months),Month-to-month contract,No dependents
7159-NOKYQ,0.1451,0,4001,93.15,Fiber optic internet,No dependents,Pays by electronic check
6075-QMNRR,0.1015,0,6334,49.75,Month-to-month contract,No dependents,Paperless billing
3694-GLTJM,0.291,0,2878,19.65,New customer (5 months),Month-to-month contract,No dependents
9629-NHXFW,0.1113,0,3160,19.4,New customer (1 month),Month-to-month contract,Paperless billing
7167-PCEYD,0.01,0,4260,19.8,No dependents,Paperless billing,No tech support
2748-MYRVK,0.1707,1,4776,99.9,Fiber optic internet,No dependents,No tech support
4223-WOZCM,0.414,0,5251,49.95,New customer (2 months),Month-to-month contract,No dependents
6946-LMSQS,0.4121,1,2673,89.05,Fiber optic internet,No dependents,Pays by electronic check
5469-NUJUR,0.0283,0,2831,19.95,No dependents,Paperless billing,Relatively short tenure (19 months)
6388-TABGU,0.026,0,4529,56.15,No dependents,No tech support,
1261-FWTTE,0.3568,0,2307,34.65,Month-to-month contract,No dependents,Paperless billing
8590-YFFQO,0.01,0,5669,64.95,No dependents,No device protection,
0082-OQIQY,0.4893,0,4561,94.2,Fiber optic internet,Month-to-month contract,No dependents
9465-RWMXL,0.5466,1,5949,78.9,Fiber optic internet,Month-to-month contract,No dependents
2930-UOTMB,0.1022,1,4403,65.25,Month-to-month contract,No dependents,No online backup
9128-CPXKI,0.1094,0,5470,95.8,Fiber optic internet,No dependents,Pays by electronic check
0484-FFVBJ,0.1449,0,4895,64.85,No dependents,Paperless billing,No tech support
1100-DDVRV,0.4936,0,5575,49.8,Month-to-month contract,No dependents,Relatively short tenure (17 months)
9313-QOLTZ,0.0741,0,5895,20.9,Month-to-month contract,No dependents,No tech support
3338-CVVEH,0.6937,0,5674,94.55,Fiber optic internet,Month-to-month contract,New customer (12 months)
1131-SUEKT,0.0432,0,4000,98.45,Fiber optic internet,Paperless billing,No online security
7602-DBTOU,0.0086,0,4890,19.6,No dependents,No tech support,No online security
1385-TQOZW,0.1684,0,2392,20.45,New customer (9 months),Month-to-month contract,No dependents
6892-XPFPU,0.7086,1,2104,104.25,Fiber optic internet,Month-to-month contract,No dependents
4115-NZRKS,0.7269,0,2415,89.15,Fiber optic internet,New customer (7 months),Month-to-month contract
5514-YQENT,0.0207,0,5038,111.15,Fiber optic internet,Pays by electronic check,Paperless billing
6319-IEJWJ,0.6804,1,2058,90.2,Fiber optic internet,Month-to-month contract,No dependents
8849-AYPTR,0.5266,0,3296,91.25,Fiber optic internet,Month-to-month contract,No dependents
5893-PYOLZ,0.0364,0,4399,81.8,No dependents,Paperless billing,No online security
7180-PISOG,0.8512,1,5554,74.5,New customer (1 month),Fiber optic internet,Month-to-month contract
8443-ZRDBZ,0.7996,1,3685,76.05,New customer (4 months),Fiber optic internet,Month-to-month contract
9079-YEXQJ,0.3761,1,5527,111.1,Fiber optic internet,Month-to-month contract,No dependents
3780-YVMFA,0.1883,0,3123,68.55,New customer (8 months),Month-to-month contract,Pays by electronic check
6968-MHOMU,0.1831,0,5006,45.0,No dependents,Paperless billing,No tech support
0899-LIIBW,0.5993,0,5891,100.85,Fiber optic internet,Month-to-month contract,No dependents
3677-IYRBF,0.6874,1,4002,30.4,New customer (2 months),Month-to-month contract,No dependents
8393-DLHGA,0.5591,1,2241,95.9,Fiber optic internet,Month-to-month contract,No dependents
7691-XVTZH,0.1124,0,5672,89.95,Fiber optic internet,No dependents,Paperless billing
5360-LJCNJ,0.1259,0,5707,105.15,Fiber optic internet,No dependents,Paperless billing
3891-PUQOD,0.2168,1,5020,59.2,New customer (1 month),Month-to-month contract,Pays by electronic check
0952-KMEEH,0.4914,1,5525,98.15,Fiber optic internet,Month-to-month contract,No dependents
4919-IKATY,0.787,1,5141,84.5,New customer (5 months),Fiber optic internet,Month-to-month contract
9746-UGFAC,0.0406,0,3171,20.85,No dependents,No tech support,No online security
9108-EQPNQ,0.0119,0,3179,26.1,New customer (10 months),No tech support,No online security
0531-ZZJWQ,0.4765,0,4958,74.0,Fiber optic internet,Month-to-month contract,No dependents
8763-KIAFH,0.0626,0,2269,20.55,No dependents,Paperless billing,No tech support
5863-OOKCL,0.1242,0,5949,18.85,New customer (10 months),Month-to-month contract,No dependents
2958-NHPPS,0.1108,0,4263,20.85,Month-to-month contract,No dependents,Pays by electronic check
9530-GRMJG,0.0145,0,5568,84.1,Pays by electronic check,Paperless billing,No online security
1809-DMJHQ,0.1153,1,4846,46.0,New customer (5 months),Month-to-month contract,No tech support
0164-XAIRP,0.0251,0,2511,19.55,No dependents,Paperless billing,No tech support
2926-JEJJC,0.0902,0,5066,20.2,New customer (8 months),No dependents,Paperless billing
1169-WCVAK,0.3661,0,4600,88.8,Fiber optic internet,Month-to-month contract,No dependents
1217-VASWC,0.2633,0,4499,100.55,Fiber optic internet,No dependents,Paperless billing
2452-KDRRH,0.387,0,5269,101.4,Fiber optic internet,Month-to-month contract,No dependents
6402-EJMWF,0.5439,0,3684,55.3,New customer (4 months),Month-to-month contract,No dependents
7663-CUXZB,0.1004,0,6251,113.75,Fiber optic internet,No dependents,Pays by electronic check
4312-KFRXN,0.0117,0,5512,25.4,No dependents,No tech support,No online security
3011-WQKSZ,0.0381,0,5188,20.0,Month-to-month contract,Pays by electronic check,Paperless billing
9747-DDZOS,0.6096,1,4378,73.5,New customer (1 month),Fiber optic internet,Month-to-month contract
2091-MJTFX,0.0811,1,4568,51.2,Month-to-month contract,No online security,No online backup
0388-EOPEX,0.7455,1,4263,74.4,New customer (2 months),Fiber optic internet,Month-to-month contract
3161-ONRWK,0.0375,0,4053,65.85,No dependents,Paperless billing,No device protection
2587-EKXTS,0.4377,0,2827,111.5,Fiber optic internet,Month-to-month contract,No dependents
9752-ZNQUT,0.5544,0,3704,48.6,New customer (1 month),Month-to-month contract,No dependents
9572-WUKSB,0.6752,0,4416,29.9,New customer (3 months),Month-to-month contract,No dependents
3836-FZSDJ,0.0126,0,4367,24.85,No dependents,No tech support,No online security
8805-JNRAZ,0.3781,0,2342,49.2,New customer (2 months),Month-to-month contract,No dependents
3069-SSVSN,0.3425,0,4467,25.85,New customer (1 month),No dependents,No tech support
8015-IHCGW,0.0229,0,4017,115.5,Fiber optic internet,Pays by electronic check,Paperless billing
8132-YPVBX,0.6919,0,3291,85.95,New customer (6 months),Fiber optic internet,Month-to-month contract
0235-KGSLC,0.7373,1,3967,85.55,New customer (1 month),Fiber optic internet,Month-to-month contract
1302-UHBDD,0.5469,0,4812,89.95,Fiber optic internet,Month-to-month contract,No dependents
3722-WPXTK,0.8441,1,4254,88.35,New customer (1 month),Fiber optic internet,Month-to-month contract
7531-GQHME,0.1191,0,4996,20.05,Month-to-month contract,New customer (12 months),No dependents
1335-NTIUC,0.4913,0,5473,24.95,New customer (9 months),Month-to-month contract,No dependents
9367-TCUYN,0.1185,0,5179,20.1,Month-to-month contract,New customer (12 months),No dependents
1536-HBSWP,0.5137,0,4667,49.9,New customer (1 month),Month-to-month contract,No dependents
8573-JGCZW,0.0629,0,4774,19.65,No dependents,Relatively short tenure (17 months),Paperless billing
2694-CIUMO,0.481,0,3445,79.55,Fiber optic internet,Month-to-month contract,New customer (12 months)
2027-FECZV,0.7341,1,2406,106.7,Fiber optic internet,Month-to-month contract,New customer (12 months)
9103-TCIHJ,0.2427,1,4519,55.7,Month-to-month contract,No dependents,Relatively short tenure (15 months)
1545-JFUML,0.0991,0,5295,99.0,Fiber optic internet,No dependents,Pays by electronic check
0524-IAVZO,0.6338,1,3698,85.0,Fiber optic internet,Month-to-month contract,No dependents
5519-TEEUH,0.0087,0,5759,20.15,Paperless billing,No tech support,No online security
6654-QGBZZ,0.25,0,5057,19.9,New customer (1 month),Month-to-month contract,No dependents
2294-DMMUS,0.0753,0,5057,70.45,Month-to-month contract,Paperless billing,No tech support
0017-IUDMW,0.0161,0,6252,116.8,Fiber optic internet,Paperless billing,No device protection
5018-LXQQG,0.031,0,4631,66.3,Month-to-month contract,No online backup,
5808-TOTXO,0.0408,0,2774,20.55,New customer (3 months),Paperless billing,No tech support
1174-FGIFN,0.1183,0,5823,90.45,Fiber optic internet,Pays by electronic check,Paperless billing
0730-KOAVE,0.3673,0,4219,94.3,Fiber optic internet,Month-to-month contract,No dependents
1218-VKFPE,0.1514,1,3535,19.0,Month-to-month contract,New customer (12 months),No dependents
5313-FPXWG,0.0453,0,4886,24.6,No dependents,Paperless billing,No tech support
2834-JKOOW,0.0756,0,3572,45.9,No dependents,Relatively short tenure (15 months),No device protection
9430-NKQLY,0.0034,0,4185,25.1,Paperless billing,No tech support,No online security
0363-QJVFX,0.3559,1,2541,108.15,Fiber optic internet,Month-to-month contract,No dependents
1658-TJVOA,0.673,0,4716,74.1,New customer (6 months),Fiber optic internet,Month-to-month contract
6685-GBWJZ,0.0334,0,5114,70.8,No dependents,,
6328-ZPBGN,0.6982,1,4074,95.15,Fiber optic internet,Month-to-month contract,New customer (11 months)
4003-FUSHP,0.222,0,5831,61.55,Month-to-month contract,No dependents,Paperless billing
7690-KPNCU,0.0834,0,4515,73.05,No dependents,Paperless billing,No tech support
2969-WGHQO,0.0496,0,3334,69.45,New customer (7 months),Pays by electronic check,No tech support
1855-CFULU,0.2423,0,3460,20.05,New customer (4 months),Month-to-month contract,No dependents
9788-YTFGE,0.176,0,3331,19.95,New customer (7 months),Month-to-month contract,No dependents
8266-VBFQL,0.7412,0,3314,90.4,New customer (4 months),Fiber optic internet,Month-to-month contract
2325-NBPZG,0.6823,0,5125,74.55,New customer (3 months),Fiber optic internet,Month-to-month contract
9906-NHHVC,0.0576,0,5693,53.5,No dependents,Paperless billing,No tech support
2541-YGPKE,0.0107,0,3764,63.7,No online backup,,
