CustomerID,churn_actual,churn_probability,CLTV,Monthly Charges,cost,value_saved,ev,realized
8591-TKMZH,0,0.022,4952,111.1,138.32,1485.6,-130.1312,-138.32
9283-LZQOH,1,0.5816,3687,74.4,94.28,1106.1,66.5472,182.245
3594-IVHJZ,0,0.3086,2606,20.45,29.54,781.8,30.7691,-29.54
1945-XISKS,0,0.0097,4994,19.65,28.58,1498.2,-24.9636,-28.58
4359-INNWN,0,0.0461,4828,20.05,29.06,1448.4,-12.3641,-29.06
7649-SIJJF,0,0.025,6045,80.1,101.12,1813.5,-89.8052,-101.12
9254-RBFON,1,0.291,5160,98.6,123.32,1548.0,-10.6913,263.68
0970-ETWGE,1,0.8444,4996,89.55,112.46,1498.8,203.9439,262.24
7762-ONLJY,0,0.0358,4122,19.7,28.64,1236.6,-17.5764,-28.64
6710-HSJRD,0,0.4837,5239,114.1,141.92,1571.7,48.119,-141.92
8873-GLDMH,0,0.722,4220,73.85,93.62,1266.0,134.8844,-93.62
9907-SWKKF,1,0.5345,4842,25.05,35.06,1452.6,159.0328,328.09
4658-HCOHW,1,0.5786,3123,102.8,128.36,936.9,7.1649,105.865
9330-VOFSZ,0,0.1258,5942,110.8,137.96,1782.6,-81.8892,-137.96
2860-RANUS,1,0.5488,3336,85.8,107.96,1000.8,29.3425,142.24
6234-PFPXL,0,0.3679,3207,95.9,120.08,962.1,-31.5983,-120.08
7205-BAIAD,0,0.0163,3091,20.6,29.72,927.3,-25.931,-29.72
3858-VOBET,1,0.5368,5897,74.95,94.94,1769.1,142.4564,347.335
5103-MHMHY,1,0.127,4563,45.95,60.14,1368.9,-16.6666,282.085
6119-SPUDB,0,0.0179,2653,38.25,50.9,795.9,-47.3385,-50.9
9389-ACWBI,0,0.2796,3850,69.95,88.94,1155.0,-8.2171,-88.94
3454-JFUBC,0,0.0101,6136,20.0,29.0,1840.8,-24.3306,-29.0
1768-ZAIFU,1,0.6956,5688,25.2,35.24,1706.4,261.503,391.36
7017-VFULY,0,0.3031,4158,20.1,29.12,1247.4,65.4104,-29.12
9221-OTIVJ,1,0.7039,2292,104.85,130.82,687.6,-9.8192,41.08
2482-CZGBB,1,0.5759,3156,70.0,89.0,946.8,47.3216,147.7
7018-WBJNK,0,0.1713,5566,78.3,98.96,1669.8,-27.4338,-98.96
3331-HQDTW,1,0.4078,3410,109.8,136.76,1023.0,-32.4749,118.99
4695-VADHF,1,0.3503,2989,57.45,73.94,896.7,4.5975,150.235
4086-WITJG,0,0.0018,4808,19.7,28.64,1442.4,-27.9797,-28.64
6297-NOOPG,0,0.1386,5979,110.5,137.6,1793.7,-75.47,-137.6
8777-PVYGU,0,0.0849,4405,64.3,82.16,1321.5,-54.1114,-82.16
4378-MYPGO,0,0.0169,5795,105.25,131.3,1738.5,-123.9604,-131.3
9313-CDOGY,0,0.0221,3854,19.6,28.52,1156.2,-22.1176,-28.52
4121-AGSIN,0,0.0488,4455,24.5,34.4,1336.5,-18.0985,-34.4
0432-CAJZV,0,0.7218,3953,90.7,113.84,1185.9,100.1423,-113.84
9097-ZUBYC,0,0.1931,2168,48.8,63.56,650.4,-32.1678,-63.56
9638-JIQYA,0,0.5964,4033,24.9,34.88,1209.9,145.5176,-34.88
1024-GUALD,1,0.745,4851,24.8,34.76,1455.3,236.2744,329.065
8024-XNAFQ,0,0.0439,5294,107.4,133.88,1588.2,-116.4693,-133.88
7587-RZNME,1,0.5699,4849,43.3,56.96,1454.7,150.2961,306.715
1346-UFHAX,0,0.4325,5577,80.0,101.0,1673.1,79.8933,-101.0
6374-NTQLP,0,0.0131,5092,104.1,129.92,1527.6,-124.9233,-129.92
6625-FLENO,0,0.0125,4927,20.75,29.9,1478.1,-25.2989,-29.9
7375-WMVMT,0,0.0568,6412,95.5,119.6,1923.6,-92.2627,-119.6
6910-HADCM,1,0.6926,5613,76.35,96.62,1683.9,194.932,324.355
7401-JIXNM,0,0.0373,5907,91.3,114.56,1772.1,-98.0255,-114.56
7338-ERIVA,0,0.0604,4003,45.05,59.06,1200.9,-40.9124,-59.06
5376-DEQCP,1,0.7579,4063,70.6,89.72,1218.9,141.2354,215.005
0909-SELIE,0,0.0326,4302,80.8,101.96,1290.6,-91.4458,-101.96
5419-KLXBN,1,0.4641,5853,89.15,111.98,1755.9,91.753,326.995
0365-TRTPY,0,0.2088,5135,91.2,114.44,1540.5,-34.0328,-114.44
6712-OAWRH,1,0.5903,5154,91.25,114.5,1546.2,113.6921,272.05
2428-ZMCTB,0,0.1251,3926,19.75,28.7,1177.8,8.123,-28.7
1963-VAUKV,1,0.2502,3663,20.4,29.48,1098.9,39.2495,245.245
9381-NDKME,1,0.4147,3843,40.65,53.78,1152.9,65.7353,234.445
3729-OWRVL,0,0.1043,4295,110.35,137.42,1288.5,-103.8315,-137.42
0895-LMRSF,0,0.1772,3314,64.9,82.88,994.2,-38.8315,-82.88
2676-SSLTO,0,0.0501,6138,66.15,84.38,1841.4,-61.3069,-84.38
8495-PRWFH,0,0.188,5831,55.65,71.78,1749.3,10.4538,-71.78
9030-QGZNL,0,0.0322,4249,20.85,30.02,1274.7,-19.7721,-30.02
9972-NKTFD,0,0.1,3185,54.65,70.58,955.5,-46.7041,-70.58
7998-WNZEM,0,0.0139,5447,80.6,101.72,1634.1,-96.0302,-101.72
0979-PHULV,1,0.4322,4020,99.45,124.34,1206.0,5.9567,177.16
6445-TNRXS,0,0.0178,5671,114.7,142.64,1701.3,-135.0789,-142.64
9586-JGQKH,0,0.1165,4512,105.4,131.48,1353.6,-92.0439,-131.48
3966-HRMZA,0,0.6048,3545,75.05,95.06,1063.5,65.7329,-95.06
5498-IBWPI,0,0.0104,5232,49.4,64.28,1569.6,-60.2157,-64.28
6823-SIDFQ,0,0.0341,5327,18.25,26.9,1598.1,-13.2672,-26.9
2323-ARSVR,0,0.0834,6103,111.05,138.26,1830.9,-100.0891,-138.26
5468-BPMMO,0,0.0799,5092,19.6,28.52,1527.6,2.0032,-28.52
0486-HECZI,1,0.1369,5154,96.75,121.1,1546.2,-68.1676,265.45
2178-PMGCJ,0,0.3724,4838,69.7,88.64,1451.4,46.4716,-88.64
4660-IRIBM,0,0.1458,5192,87.9,110.48,1557.6,-53.7034,-110.48
9674-EHPPG,0,0.024,2519,40.4,53.48,755.7,-48.938,-53.48
5606-AMZBO,0,0.5549,3403,78.15,98.78,1020.9,42.8478,-98.78
0665-XHDJU,0,0.1672,6022,99.4,124.28,1806.6,-48.7658,-124.28
5402-HTOTQ,0,0.2859,3771,55.3,71.36,1131.3,9.5081,-71.36
8258-GSTJK,1,0.8098,3128,77.0,97.4,938.4,92.5714,137.2
3787-TRIAL,0,0.1429,4302,26.05,36.26,1290.6,9.8462,-36.26
6175-IRFIT,0,0.6522,2610,78.75,99.5,783.0,28.1609,-99.5
6317-YPKDH,1,0.497,4534,29.95,40.94,1360.2,128.0784,299.11
5692-FPTAH,1,0.4929,2168,45.4,59.48,650.4,20.6588,103.12
5373-SFODM,1,0.5165,3041,85.25,107.3,912.3,10.5043,120.775
0868-VJRDR,0,0.0636,4337,104.05,129.86,1301.1,-109.1575,-129.86
4079-VTGLK,0,0.1424,5610,74.85,94.82,1683.0,-34.9169,-94.82
1166-PQLGG,0,0.0018,4424,19.55,28.46,1327.2,-27.8599,-28.46
5296-BFCYD,0,0.0038,3392,20.1,29.12,1017.6,-28.1421,-29.12
6568-POCUI,0,0.1139,3363,95.2,119.24,1008.9,-90.5029,-119.24
2839-RFSQE,1,0.245,3845,20.65,29.78,1153.5,40.8619,258.595
2188-SXWVT,0,0.0405,4027,55.0,71.0,1208.1,-58.7748,-71.0
8849-GYOKR,1,0.2032,4893,106.55,132.86,1467.9,-58.2891,234.115
3623-FQBOX,0,0.1114,3632,19.95,28.94,1089.6,1.3995,-28.94
2649-HWLYB,0,0.0239,6177,76.15,96.38,1853.1,-85.3265,-96.38
0599-XNYDO,0,0.458,5456,69.8,88.76,1636.8,98.6715,-88.76
2514-GINMM,1,0.8032,4490,79.5,100.4,1347.0,170.063,236.35
8401-EMUWF,0,0.0491,4701,69.4,88.28,1410.3,-70.9706,-88.28
5766-ZJYBB,1,0.2498,4152,19.4,28.28,1245.6,49.4962,283.12
2604-IJPDU,0,0.4384,4382,96.55,120.86,1314.6,23.2298,-120.86
2501-XWWTZ,0,0.4896,2535,70.2,89.24,760.5,3.8433,-89.24
6370-ZVHDV,0,0.016,4501,25.3,35.36,1350.3,-29.9484,-35.36
3027-YNWZU,0,0.0146,5538,25.0,35.0,1661.4,-28.9535,-35.0
4526-ZJJTM,0,0.398,4849,88.4,111.08,1454.7,33.6569,-111.08
0440-QEXBZ,0,0.167,5790,50.15,65.18,1737.0,7.3257,-65.18
0330-IVZHA,1,0.7305,2969,69.95,88.94,890.7,73.7332,133.735
9758-MFWGD,0,0.0174,2617,29.9,40.88,785.1,-37.4718,-40.88
4229-CZMLL,1,0.7906,4160,74.9,94.88,1248.0,151.78,217.12
0742-MOABM,1,0.3937,3394,50.05,65.06,1018.2,35.1501,189.49
4277-BWBML,0,0.0018,5092,19.95,28.94,1527.6,-28.2514,-28.94
5136-GFPMB,0,0.3144,5871,89.4,112.28,1761.3,26.1552,-112.28
7520-HQWJU,0,0.0266,4172,67.45,85.94,1251.6,-77.621,-85.94
6304-IJFSQ,1,0.4491,5585,49.9,64.88,1675.5,123.2475,353.995
0297-RBCSG,0,0.1087,2051,65.35,83.42,615.3,-66.6997,-83.42
6013-BHCAW,0,0.0142,4151,81.0,102.2,1245.3,-97.7732,-102.2
4402-FTBXC,0,0.1908,4980,89.8,112.76,1494.0,-41.4853,-112.76
1471-GIQKQ,0,0.4753,5230,49.95,64.94,1569.0,121.5065,-64.94
4283-FUTGF,1,0.5705,3715,79.85,100.82,1114.5,58.1422,177.805
9548-LERKT,0,0.0238,3455,19.75,28.7,1036.5,-22.5328,-28.7
8059-UDZFY,0,0.175,4738,105.35,131.42,1421.4,-69.2431,-131.42
0410-IPFTY,0,0.4302,4283,83.85,105.62,1284.9,32.5749,-105.62
2478-EEWWM,0,0.3998,5905,44.3,58.16,1771.5,118.8853,-58.16
4619-EVPHY,0,0.4233,3748,91.0,114.2,1124.4,4.7975,-114.2
2277-DJJDL,0,0.5227,4763,99.0,123.8,1428.9,62.9145,-123.8
2911-WDXMV,0,0.1581,5334,80.55,101.66,1600.2,-38.43,-101.66
3639-XJHKQ,0,0.0526,2463,60.6,77.72,738.9,-68.0024,-77.72
8173-RXAYP,0,0.005,4642,19.7,28.64,1392.6,-26.8839,-28.64
4537-CIBHB,0,0.0185,4272,20.25,29.3,1281.6,-23.3624,-29.3
5442-BXVND,0,0.0246,5531,24.25,34.1,1659.3,-23.8899,-34.1
2308-STERM,0,0.2446,5816,19.4,28.28,1744.8,78.4079,-28.28
7159-NOKYQ,0,0.1451,4001,93.15,116.78,1200.3,-73.2253,-116.78
6075-QMNRR,0,0.1015,6334,49.75,64.7,1900.2,-16.4835,-64.7
3694-GLTJM,0,0.291,2878,19.65,28.58,863.4,34.2228,-28.58
9629-NHXFW,0,0.1113,3160,19.4,28.28,948.0,-1.8907,-28.28
7167-PCEYD,0,0.01,4260,19.8,28.76,1278.0,-25.5598,-28.76
2748-MYRVK,1,0.1707,4776,99.9,124.88,1432.8,-63.738,233.32
4223-WOZCM,0,0.414,5251,49.95,64.94,1575.3,98.1008,-64.94
6946-LMSQS,1,0.4121,2673,89.05,111.86,801.9,-29.2485,88.615
5469-NUJUR,0,0.0283,2831,19.95,28.94,849.3,-22.9224,-28.94
6388-TABGU,0,0.026,4529,56.15,72.38,1358.7,-63.5649,-72.38
1261-FWTTE,0,0.3568,2307,34.65,46.58,692.1,15.1605,-46.58
8590-YFFQO,0,0.01,5669,64.95,82.94,1700.7,-78.6808,-82.94
0082-OQIQY,0,0.4893,4561,94.2,118.04,1368.3,49.3367,-118.04
9465-RWMXL,1,0.5466,5949,78.9,99.68,1784.7,144.2131,346.495
2930-UOTMB,1,0.1022,4403,65.25,83.3,1320.9,-49.5655,246.925
9128-CPXKI,0,0.1094,5470,95.8,119.96,1641.0,-75.0926,-119.96
0484-FFVBJ,0,0.1449,4895,64.85,82.82,1468.5,-29.6195,-82.82
1100-DDVRV,0,0.4936,5575,49.8,64.76,1672.5,141.6294,-64.76
9313-QOLTZ,0,0.0741,5895,20.9,30.08,1768.5,2.663,-30.08
3338-CVVEH,0,0.6937,5674,94.55,118.46,1702.2,176.7442,-118.46
1131-SUEKT,0,0.0432,4000,98.45,123.14,1200.0,-110.1887,-123.14
7602-DBTOU,0,0.0086,4890,19.6,28.52,1467.0,-25.3532,-28.52
1385-TQOZW,0,0.1684,2392,20.45,29.54,717.6,0.6726,-29.54
6892-XPFPU,1,0.7086,2104,104.25,130.1,631.2,-18.2811,27.7
4115-NZRKS,0,0.7269,2415,89.15,111.98,724.5,19.6815,-111.98
5514-YQENT,0,0.0207,5038,111.15,138.38,1511.4,-130.5664,-138.38
6319-IEJWJ,1,0.6804,2058,90.2,113.24,617.4,-8.2233,41.11
8849-AYPTR,0,0.5266,3296,91.25,114.5,988.8,15.6791,-114.5
5893-PYOLZ,0,0.0364,4399,81.8,103.16,1319.7,-91.1511,-103.16
7180-PISOG,1,0.8512,5554,74.5,94.4,1666.2,260.1623,322.15
8443-ZRDBZ,1,0.7996,3685,76.05,96.26,1105.5,124.7334,180.115
9079-YEXQJ,1,0.3761,5527,111.1,138.32,1658.1,17.5681,276.205
3780-YVMFA,0,0.1883,3123,68.55,87.26,936.9,-43.1455,-87.26
6968-MHOMU,0,0.1831,5006,45.0,59.0,1501.8,9.7319,-59.0
0899-LIIBW,0,0.5993,5891,100.85,126.02,1767.3,138.7721,-126.02
3677-IYRBF,1,0.6874,4002,30.4,41.48,1200.6,164.8349,258.67
8393-DLHGA,1,0.5591,2241,95.9,120.08,672.3,-26.1026,47.995
7691-XVTZH,0,0.1124,5672,89.95,112.94,1701.6,-65.117,-112.94
5360-LJCNJ,0,0.1259,5707,105.15,131.18,1712.1,-77.3056,-131.18
3891-PUQOD,1,0.2168,5020,59.2,76.04,1506.0,5.6008,300.46
0952-KMEEH,1,0.4914,5525,98.15,122.78,1657.5,80.8343,291.595
4919-IKATY,1,0.787,5141,84.5,106.4,1542.3,197.0492,279.175
9746-UGFAC,0,0.0406,3171,20.85,30.02,951.3,-20.3588,-30.02
9108-EQPNQ,0,0.0119,3179,26.1,36.32,953.7,-33.4823,-36.32
0531-ZZJWQ,0,0.4765,4958,74.0,93.8,1487.4,83.3929,-93.8
8763-KIAFH,0,0.0626,2269,20.55,29.66,680.7,-19.0153,-29.66
5863-OOKCL,0,0.1242,5949,18.85,27.62,1784.7,27.812,-27.62
2958-NHPPS,0,0.1108,4263,20.85,30.02,1278.9,5.396,-30.02
9530-GRMJG,0,0.0145,5568,84.1,105.92,1670.4,-99.8665,-105.92
1809-DMJHQ,1,0.1153,4846,46.0,60.2,1453.8,-18.2861,303.25
0164-XAIRP,0,0.0251,2511,19.55,28.46,753.3,-23.7295,-28.46
2926-JEJJC,0,0.0902,5066,20.2,29.24,1519.8,5.0329,-29.24
1169-WCVAK,0,0.3661,4600,88.8,111.56,1380.0,14.7306,-111.56
1217-VASWC,0,0.2633,4499,100.55,125.66,1349.7,-36.8126,-125.66
2452-KDRRH,0,0.387,5269,101.4,126.68,1580.7,26.2588,-126.68
6402-EJMWF,0,0.5439,3684,55.3,71.36,1105.2,78.9217,-71.36
7663-CUXZB,0,0.1004,6251,113.75,141.5,1875.3,-94.4241,-141.5
4312-KFRXN,0,0.0117,5512,25.4,35.48,1653.6,-30.6593,-35.48
3011-WQKSZ,0,0.0381,5188,20.0,29.0,1556.4,-14.1619,-29.0
9747-DDZOS,1,0.6096,4378,73.5,93.2,1313.4,106.9668,235.15
2091-MJTFX,1,0.0811,4568,51.2,66.44,1370.4,-38.6666,276.16
0388-EOPEX,1,0.7455,4263,74.4,94.28,1278.9,144.0771,225.445
3161-ONRWK,0,0.0375,4053,65.85,84.02,1215.9,-72.6307,-84.02
2587-EKXTS,0,0.4377,2827,111.5,138.8,848.1,-46.0032,-138.8
9752-ZNQUT,0,0.5544,3704,48.6,63.32,1111.2,90.6974,-63.32
9572-WUKSB,0,0.6752,4416,29.9,40.88,1324.8,182.7562,-40.88
3836-FZSDJ,0,0.0126,4367,24.85,34.82,1310.1,-30.6879,-34.82
8805-JNRAZ,0,0.3781,2342,49.2,64.04,702.6,2.3685,-64.04
3069-SSVSN,0,0.3425,4467,25.85,36.02,1340.1,78.7386,-36.02
8015-IHCGW,0,0.0229,4017,115.5,143.6,1205.1,-136.6952,-143.6
8132-YPVBX,0,0.6919,3291,85.95,108.14,987.3,62.6454,-108.14
0235-KGSLC,1,0.7373,3967,85.55,107.66,1190.1,111.7023,189.865
1302-UHBDD,0,0.5469,4812,89.95,112.94,1443.6,84.4496,-112.94
3722-WPXTK,1,0.8441,4254,88.35,111.02,1276.2,158.2811,208.03
7531-GQHME,0,0.1191,4996,20.05,29.06,1498.8,15.5596,-29.06
1335-NTIUC,0,0.4913,5473,24.95,34.94,1641.9,166.7421,-34.94
9367-TCUYN,0,0.1185,5179,20.1,29.12,1553.7,16.9132,-29.12
1536-HBSWP,0,0.5137,4667,49.9,64.88,1400.1,114.9418,-64.88
8573-JGCZW,0,0.0629,4774,19.65,28.58,1432.2,-6.0691,-28.58
2694-CIUMO,0,0.481,3445,79.55,100.46,1033.5,23.8143,-100.46
2027-FECZV,1,0.7341,2406,106.7,133.04,721.8,-0.5739,47.41
9103-TCIHJ,1,0.2427,4519,55.7,71.84,1355.7,10.4206,267.085
1545-JFUML,0,0.0991,5295,99.0,123.8,1588.5,-84.4445,-123.8
0524-IAVZO,1,0.6338,3698,85.0,107.0,1109.4,68.7801,170.35
5519-TEEUH,0,0.0087,5759,20.15,29.18,1727.7,-25.4172,-29.18
6654-QGBZZ,0,0.25,5057,19.9,28.88,1517.1,65.927,-28.88
2294-DMMUS,0,0.0753,5057,70.45,89.54,1517.1,-60.9621,-89.54
0017-IUDMW,0,0.0161,6252,116.8,145.16,1875.6,-137.6199,-145.16
5018-LXQQG,0,0.031,4631,66.3,84.56,1389.3,-73.7912,-84.56
5808-TOTXO,0,0.0408,2774,20.55,29.66,832.2,-21.1643,-29.66
1174-FGIFN,0,0.1183,5823,90.45,113.54,1746.9,-61.8943,-113.54
0730-KOAVE,0,0.3673,4219,94.3,118.16,1265.7,-1.924,-118.16
1218-VKFPE,1,0.1514,3535,19.0,27.8,1060.5,12.3268,237.325
5313-FPXWG,0,0.0453,4886,24.6,34.52,1465.8,-17.9166,-34.52
2834-JKOOW,0,0.0756,3572,45.9,60.08,1071.6,-39.8353,-60.08
9430-NKQLY,0,0.0034,4185,25.1,35.12,1255.5,-34.0456,-35.12
0363-QJVFX,1,0.3559,2541,108.15,134.78,762.3,-66.9609,55.795
1658-TJVOA,0,0.673,4716,74.1,93.92,1414.8,144.112,-93.92
6685-GBWJZ,0,0.0334,5114,70.8,89.96,1534.2,-77.1521,-89.96
6328-ZPBGN,1,0.6982,4074,95.15,119.18,1222.2,94.1503,186.37
4003-FUSHP,0,0.222,5831,61.55,78.86,1749.3,18.2338,-78.86
7690-KPNCU,0,0.0834,4515,73.05,92.66,1354.5,-64.4078,-92.66
2969-WGHQO,0,0.0496,3334,69.45,88.34,1000.2,-75.9476,-88.34
1855-CFULU,0,0.2423,3460,20.05,29.06,1038.0,33.8159,-29.06
9788-YTFGE,0,0.176,3331,19.95,28.94,999.3,15.0183,-28.94
8266-VBFQL,0,0.7412,3314,90.4,113.48,994.2,70.7451,-113.48
2325-NBPZG,0,0.6823,5125,74.55,94.46,1537.5,167.7809,-94.46
9906-NHHVC,0,0.0576,5693,53.5,69.2,1707.9,-44.5942,-69.2
2541-YGPKE,0,0.0107,3764,63.7,81.44,1129.2,-78.4091,-81.44
5049-MUBWG,0,0.0736,4705,75.0,95.0,1411.5,-69.0398,-95.0
2332-TODQS,0,0.0272,3642,25.05,35.06,1092.6,-27.6387,-35.06
4419-UJMUS,0,0.0368,4637,99.35,124.22,1391.1,-111.4387,-124.22
2233-TXSIU,0,0.0409,3522,44.45,58.34,1056.6,-47.5461,-58.34
6770-XUAGN,1,0.469,3753,21.0,30.2,1125.9,101.8199,251.275
2919-HBCJO,1,0.6421,4580,76.65,96.98,1374.0,123.5882,246.52
9508-ILZDG,0,0.4484,5425,96.35,120.62,1627.5,61.8224,-120.62
5442-BHQNG,0,0.6887,3430,70.35,89.42,1029.0,87.7605,-89.42
7250-EQKIY,1,0.1607,2426,50.45,65.54,727.8,-36.3003,116.41
6838-HVLXG,0,0.1186,4177,20.3,29.36,1253.1,7.8035,-29.36
9767-FFLEM,0,0.2803,4591,69.5,88.4,1377.3,8.1301,-88.4
2245-ADZFJ,0,0.0694,3491,80.55,101.66,1047.3,-83.5006,-101.66
1150-WFARN,1,0.0881,5516,108.75,135.5,1654.8,-99.0479,278.2
9054-FOWNV,0,0.2984,5585,88.75,111.5,1675.5,13.4857,-111.5
7997-EASSD,0,0.1489,6063,81.2,102.44,1818.9,-34.7322,-102.44
7560-QJAVJ,0,0.0151,5474,79.6,100.52,1642.2,-94.311,-100.52
2668-TZSPS,0,0.2502,2664,20.45,29.54,799.2,20.4492,-29.54
9139-WQQDY,1,0.2818,4235,100.45,125.54,1270.5,-36.0482,192.085
